,Date,User,Tweet,Reply,Retweet,Like,,,,,,
56,2018/12/11 00:00,dr5bludgeoning,"Frist rule of dm school

*throws DMG out of your hands*

THERE ARE NO RULES

THE SECOND RULE

*picks up DMG amd flips through it*

Make cute Npc's

#dnd",2,60,189,2018/2/25,2,,,2018/2/25,2
57,2018/12/11 00:00,AMDGaming,"Join us this Wednesday, Dec 12 for the AMD 12 Days of Streaming! We?ôre kicking things off with @NaomiKyle and giving you a chance to win a Ryzen 7 2700X! Tune in live on Twitch: https://t.co/HGwH50fkhH

Full details: https://t.co/3B63dxHOQP https://t.co/NuiPGl2nPO",7,51,889,2018/2/26,0,,,2018/2/26,0
58,2018/12/11 00:00,danjlevy,HOLY F*CK! BEST COMEDY SERIES NOMINATION! CONGRATS TEAM AMD THANK YOU @CriticsChoice!!!?ò≠?§Ô????èº https://t.co/F7C1IelVTf,100,134,3438,2018/2/27,1,,,2018/2/27,1
59,2018/12/10 00:00,NoahJ456,"New video with @BestBuy and @AMDRyzen. 

Playing some games and testing out the AMD Ryzen and Radeon-powered HP Desktop. Spoiler: it's a beast. #ad 

https://t.co/zavm76Ys7m",14,32,810,2018/2/28,5,,,2018/2/28,5
60,2018/12/10 00:00,amd__silva,?§™ https://t.co/edQ6NiVCAD,0,18,151,2018/3/1,1,,,2018/3/1,1
61,2018/12/10 00:00,laniefalls,WAIT DNP WERE OUT WITH MARTYN AMD CORNELIA LAST NIGHT AWW,3,6,135,2018/3/2,3,,,2018/3/2,3
62,2018/12/10 00:00,1GreenFlamingo,"My mother throws anything close to her at me when she gets angry????

I remember one time she was changing my little sister's diaper amd I asked her if she has kissed my father before...There nooor toilet and diaper passed by my face HWWIIIIIIIM??????
More than fast and furios?òπ",30,213,813,2018/3/3,3,,,2018/3/3,3
63,2018/12/9 00:00,MineskiProTeam,REVERSE SWEEP!! 2018 AMD DOTA 2 PRO SERIES CHAMPIONS!! https://t.co/qykTJwOsTA,2,23,228,2018/3/4,0,,,2018/3/4,0
64,2018/12/8 00:00,i0am0pathetic,"Pls... Guys your sis is broke as hell... And i need to complete this deal.. Help me pls pls 

.....Love you all ...
Guys I need 1k rt amd likes ...
Pls help me
@LEGIT_IPHONES https://t.co/RlHtHuEBw4",43,132,161,2018/3/5,2,,,2018/3/5,2
65,2018/12/8 00:00,BlackEspanolito,"¬°¬°NUEVA ACTUALIZACI?N!!
Todos los que teng√°is AMD o Intel por favor mirad si os funciona el juego",74,34,397,2018/3/6,1,,,2018/3/6,1
66,2018/12/8 00:00,iMiaSanMia,"Juventus manager Allegri after tonight's Juve v Inter (1-0): ""Mario Mandzukic was the last striker who won the Champions League at Bayern. They won the treble with him amd struggled in Europe since they sold him. He is an important player"" [Sky] https://t.co/qvPymm5Lhy",37,141,544,2018/3/7,0,,,2018/3/7,0
67,2018/12/8 00:00,amdradeon,It's the final week of our #JustAddWrapping contest and an AMD Radeon RX Vega 64 is on the line. Follow and tweet @Radeon a photo or video of that AMD product you'd want wrapped with #JustAddWrapping and #Sweepstakes. Full rules: https://t.co/xAl4cQGDIn https://t.co/gw9HfgXkMh,123,80,538,2018/3/8,2,,,2018/3/8,2
68,2018/12/8 00:00,BlackEspanolito,"Al parecer Valve ha vuelto a la actualizaci√≥n anterior porque la nueva ten√≠a un mont√≥n de bugs :/
¬øLa gente de Intel/AMD pod√©is jugar u os vuelve a crashear?",121,21,454,2018/3/9,1,,,2018/3/9,1
69,2018/12/8 00:00,innerviscosity,"us kids from broken homes are already raised to believe we?ôre unlovable burdens so thanks to you amd tbe 25,000 people who rtd this for perpetuating that abusive rhetoric",4,62,230,2018/3/10,2,,,2018/3/10,2
70,2018/12/7 00:00,AMD_aoneko,Music Like MAGIC! #MIKUEXPO2018?á´?á∑?á©?á™?á¨?áß https://t.co/LaQiU1Tvk1,0,113,451,2018/3/11,1,,,2018/3/11,1
71,2018/12/7 00:00,wthparkjimin,"the grammys saw the album? said 'oh i like the cover, put it on the list"" amd forgot to listen to the cd ??",27,469,1708,2018/3/12,8,,,2018/3/12,8
72,2018/12/7 00:00,LisaSu,Great night for team @AMD!!  Very humbled to receive the @GlobalSemi Morris Chang Exemplary Leadership Award and super proud to receive the Top Semi Analyst Stock Pick Award from Jeffries!  ???? https://t.co/spjeuZC9xh,30,57,498,2018/3/13,2,,,2018/3/13,2
